TurkerID,number of permissions requested for microphone,number of permissions requested for location,number of permissions requested for camera,number of permissions requested for contacts,number of permissions requested for phone,number of permissions requested for storage,number of permissions requested for calendar,number of permissions requested sensor,number of permissions requested sms,number of permissions granted for microphone,number of permissions granted for location,number of permissions granted for camera,number of permissions granted for contacts,number of permissions granted for phone,number of permissions granted for storage,number of permissions granted for calendar,number of permissions granted sensor,number of permissions granted sms,danger level of microphone,danger level of location,danger level of camera,danger level of contacts,danger level of phone,danger level of storage,danger level of calendar,danger level of sensor,danger level of sms
A12MV66U9VGLQ1,38,62,48,72,67,98,16,3,26,15,28,11,23,20,41,5,0,10,3,3,5,5,5,5,5,5,5
A1JO6AY55FG7QU,45,92,61,84,89,138,16,1,32,20,56,27,33,34,71,7,1,18,1,3,3,3,3,3,1,1,2
A1NSWJKFJIZ06J,30,61,38,59,52,75,11,0,27,25,55,30,46,39,64,9,0,22,4,4,4,4,4,4,4,4,4
A5X1KZ9CCHREK,8,17,11,22,24,32,5,0,12,7,7,6,13,11,16,2,0,9,5,5,5,4,4,5,2,4,3
A1M682B2WUSYJP,15,24,18,27,25,50,8,0,13,9,9,8,15,14,30,3,0,8,3,3,3,4,4,4,3,3,3
ADIAEAPYRI8CK,56,116,89,105,89,159,25,1,36,22,64,42,32,29,81,7,1,16,1,3,3,3,3,2,3,3,3
A34ZP0QJMB8X45,18,38,34,38,36,52,8,0,18,11,20,13,14,15,26,5,0,10,3,3,3,4,3,4,3,3,3
A3EAUAU8V3B5S7,19,28,21,34,31,42,8,1,16,6,9,7,12,11,17,4,0,9,2,4,4,2,2,4,2,2,2
A2QIZ31TMHU0GD,19,37,23,48,46,55,9,1,21,9,16,6,21,18,23,3,0,8,3,3,4,4,4,4,3,4,4
AT3C00TKZK13L,9,17,9,19,13,20,7,0,7,4,9,3,9,6,9,2,0,4,2,4,5,2,4,4,1,2,4
A4T4577P6JL6R,38,49,42,47,46,100,9,0,23,18,16,19,19,25,60,5,0,15,4,5,5,5,4,5,3,5,4
A1F8ONXY28ROAA,15,33,24,41,27,48,14,1,19,4,19,5,13,10,20,2,0,8,3,3,5,5,5,4,1,3,3
A3U7FRXVDY12RJ,29,58,53,62,50,79,15,2,31,10,28,27,25,25,42,6,1,14,4,4,3,3,4,2,3,3,4
A1E77HZO63E334,25,82,53,71,62,113,8,0,19,10,59,21,28,27,60,6,0,6,2,4,4,2,3,4,2,3,3
A1DIGREVLNOXT3,20,35,33,37,30,53,8,0,17,4,9,8,11,9,18,4,0,7,4,4,4,4,4,4,4,4,4
A1WTIPXQDJIMUI,17,38,25,36,26,48,9,0,14,10,23,13,12,12,25,3,0,8,2,2,2,2,2,2,1,1,1
A3OV174HQJIJK8,19,33,23,41,29,49,11,0,18,8,13,10,15,10,24,3,0,9,3,4,2,5,4,3,4,3,4
A3SHLGG66PJXEB,21,41,34,42,33,56,6,0,15,7,17,9,16,12,24,4,0,5,4,4,5,5,5,4,3,4,4
A3AN4TL6DFO4D2,39,70,59,77,71,117,11,2,31,23,49,37,53,47,88,9,1,21,4,3,2,3,2,3,3,3,4
A21SIPO89DP66I,20,45,38,49,37,69,10,0,20,10,25,22,20,18,43,5,0,8,4,5,4,3,5,5,3,3,5
A3609GDWR2JCCA,16,22,16,26,23,39,4,0,11,9,9,7,15,14,25,1,0,7,4,4,3,4,4,3,3,3,4
A28LARVABNF9BX,20,43,32,45,43,57,11,1,19,15,25,21,18,20,37,6,1,11,3,2,4,3,5,3,1,3,1
A3174YB32Y52W2,26,45,35,49,47,58,12,1,31,11,19,18,20,20,34,6,1,16,3,4,5,5,5,3,3,3,3
A2BN1CX0PTWBXW,18,31,21,36,31,45,9,2,22,4,9,5,10,17,15,2,1,10,3,3,2,2,4,2,2,2,3
A3GDUZQGHRXUJI,34,74,58,66,59,99,16,2,30,13,43,27,24,21,51,6,1,15,3,3,4,3,3,4,2,4,4
A3SG23IVI6PS0L,18,46,31,44,44,56,10,0,19,5,20,7,11,16,24,4,0,9,2,3,4,2,2,3,1,2,2
A2B227N1NQYS56,15,21,18,23,19,30,6,0,13,9,10,11,11,8,22,2,0,7,3,4,4,2,2,2,1,3,2
A256FHXGSY0E5D,4,7,2,8,9,19,2,0,2,1,2,1,5,4,9,1,0,1,2,1,2,5,5,2,2,1,4
AZZA3J049G7R5,16,21,20,32,33,41,9,0,13,10,10,10,14,10,22,3,0,6,2,4,5,2,5,2,5,5,5
A2XLM2JZ0A2J8R,10,21,10,28,18,43,5,0,14,5,11,3,16,13,31,2,0,10,4,4,5,5,5,4,4,4,5
AAQREZOK13OV7,13,31,18,35,23,45,6,1,19,5,13,3,14,12,12,3,0,12,2,4,2,5,5,2,1,2,4
A2BP8SSKYDZZ64,34,72,63,78,63,106,13,1,31,19,46,30,32,29,61,7,1,18,2,5,2,2,4,4,2,4,4
A3S5ZB4D98JWT1,32,64,47,66,61,84,13,2,27,13,19,15,20,19,32,5,0,11,3,4,4,4,3,4,2,2,2
A2SE5QBXBBDL3N,39,75,56,74,76,122,15,1,37,14,38,23,26,24,64,6,0,14,4,3,2,4,3,2,3,4,2
A1378TVZLWPT2Z,23,48,35,48,45,62,10,1,28,9,19,15,19,20,30,6,1,16,2,5,5,5,5,2,2,2,2
A14WLAP6TCEKO0,20,32,26,42,28,58,10,0,12,6,12,2,16,16,26,8,0,8,1,4,3,1,4,5,3,3,1
A3586AZAAHFYBX,25,49,32,54,50,66,9,1,26,11,15,17,19,21,38,5,1,14,4,4,3,3,3,2,1,2,2
A3LL096CAY5WHB,23,40,36,45,41,82,8,0,22,12,16,18,18,21,55,3,0,11,4,4,4,4,4,4,4,4,4
A1RN7D103KUVQ1,32,74,55,76,77,108,14,1,31,13,35,19,29,25,52,5,1,15,3,3,3,3,3,3,3,3,3
AAGP5VATPK8N2,41,71,61,82,64,108,12,1,31,15,23,17,20,24,43,4,1,14,2,2,3,2,2,3,1,2,2
A2RH621WK2VZJ0,34,61,50,63,54,89,14,2,29,10,19,9,17,16,27,6,1,12,3,3,3,3,3,3,3,3,3
A141N2XGQXKPME,19,38,26,44,36,46,10,0,24,7,11,9,16,16,19,3,0,14,4,2,5,4,3,4,5,3,4
A2W55J9T0JDP2O,72,121,103,120,113,208,17,2,53,25,44,37,31,35,67,5,1,16,5,5,5,5,5,5,5,5,5
A1CYSGVB90E67S,40,70,64,75,66,119,14,1,37,17,36,32,31,31,77,8,1,21,5,4,3,4,4,3,3,2,3
A3OSOGJTD4XD9U,37,57,46,62,54,89,10,1,27,20,24,22,27,27,55,5,1,15,4,5,4,4,4,5,4,3,5
A2LAWUYEMWODHH,47,67,55,72,66,92,16,2,34,25,42,39,54,37,62,9,1,24,3,4,3,3,4,3,3,3,3
